,Game,Year,Platform,Sales,Revenue
0,Pokémon Red / Green / Blue,1996,GB,31050000,1100000000
1,Pokémon Yellow,1998,GB,14640000,450000000
2,Pokémon FireRed & LeafGreen,2004,GBA,12000000,640000000
3,"Pokémon: Let's Go, Pikachu & Eevee",2018,Switch,15070000,900000000
4,Pokémon Gold & Silver,1999,GBC,23730000,1016000000
5,Pokémon Crystal,2000,GBC,6390000,211000000
6,Pokémon HeartGold & SoulSilver,2009,DS,12720000,763000000
7,Pokémon Ruby & Sapphire,2002,GBA,16220000,689000000
8,Pokémon Emerald,2004,GBA,7060000,256000000
9,Pokémon Omega Ruby & Alpha Sapphire,2014,3DS,14670000,703000000
10,Pokémon Diamond & Pearl,2006,DS,17670000,778000000
11,Pokémon Platinum,2008,DS,7600000,372000000
12,Pokémon Brilliant Diamond & Shining Pearl,2021,Switch,15060000,903000000
13,Pokémon Black & White,2010,DS,15640000,759000000
14,Pokémon Black 2 & White 2,2012,DS,8520000,435000000
15,Pokémon X & Y,2013,3DS,16780000,953000000
16,Pokémon Sun & Moon,2016,3DS,16330000,879000000
17,Pokémon Ultra Sun & Ultra Moon,2017,3DS,9260000,368000000
18,Pokémon Sword & Shield,2019,Switch,26960000,1600000000
19,Pokémon Legends: Arceus,2022,Switch,14830000,900000000
20,Pokémon Scarlet & Violet,2022,Switch,27610000,1600000000
21,Pokémon Legends: Z-A,2025,Switch,3000000,180000000
22,Pokemon Legends: Z-A – Nintendo Switch 2 Edition,2025,Switch 2,2800000,200000000
