,Platform,Game,Total_Revenue,Avg_Revenue,Total_Sales,Avg_Sales,Avg_Price,Year
0,3DS,14,3111.4629999999997,222.2473571428571,62.485471,4.463247928571429,38.061247929410136,2014.7857142857142
1,DS,16,3772.0,235.75,81.002938,5.062683625,44.937977254883165,2008.375
2,GB,4,1847.0,461.75,54.72,13.68,32.75784856548194,1997.75
3,GBA,5,1745.0,349.0,39.01,7.802,44.99544806411306,2003.6
4,GBC,4,1233.5,308.375,30.293492,7.573373,37.47772350318355,2000.0
5,GCN,4,205.0,51.25,4.381704,1.095426,37.30945075578881,2003.5
6,N64,8,953.0,119.125,15.318275,1.914784375,62.267578728407095,1999.375
7,Switch,10,6496.0,649.6,109.475303,10.9475303,58.01183656358677,2020.8
8,Switch 2,1,200.0,200.0,2.8,2.8,71.42857142857143,2025.0
9,Wii,7,189.6,27.085714285714285,4.596302,0.6566145714285714,36.43169114690747,2009.142857142857
10,Wii U,2,60.21,30.105,1.010955,0.5054775,39.584664536741215,2014.5
