,Platform,Category,Revenue,Sales,Avg_Price,Revenue_Prop,Sales_Prop
0,3DS,Main,2903.0,57.04,49.57071540951209,93.3001613710335,91.2852205275047
1,3DS,Side,208.463,5.4454709999999995,33.45746093736936,6.699838628966502,8.714779472495293
2,DS,Main,3107.0,62.15,50.50936467064425,82.37009544008484,76.72561210063763
3,DS,Side,665.0,18.852938,42.40552842953721,17.629904559915165,23.274387899362367
4,GB,Main,1550.0,45.69,33.08221799846889,83.91987005955603,83.49780701754386
5,GB,Side,297.0,9.03,32.43347913249499,16.080129940443964,16.50219298245614
6,GBA,Main,1585.0,35.28,44.02412608813268,90.83094555873924,90.43834914124585
7,GBA,Side,160.0,3.73,46.45243102808364,9.169054441260744,9.561650858754165
8,GBC,Main,1227.0,30.12,37.91767319749371,99.47304418321849,99.42729613344015
9,GBC,Side,6.5,0.17349199999999998,37.03777380887338,0.526955816781516,0.5727038665598537
10,GCN,Main,0.0,0.0,0.0,0.0,0.0
11,GCN,Side,205.0,4.381704,37.30945075578881,100.0,100.0
12,N64,Main,0.0,0.0,0.0,0.0,0.0
13,N64,Side,953.0,15.318275,62.267578728407095,100.0,100.0
14,Switch,Main,6083.0,102.53,59.611075681360035,93.64224137931035,93.65582664795183
15,Switch,Side,413.0,6.945302999999999,55.61297788692686,6.357758620689655,6.344173352048179
16,Switch 2,Main,200.0,2.8,71.42857142857143,100.0,100.0
17,Switch 2,Side,0.0,0.0,0.0,0.0,0.0
18,Wii,Side,189.6,4.596302,36.43169114690747,100.0,100.0
19,Wii,Main,0.0,0.0,0.0,0.0,0.0
20,Wii U,Side,60.21,1.010955,39.584664536741215,100.0,100.0
21,Wii U,Main,0.0,0.0,0.0,0.0,0.0
